csl_type,type_decl,from_instance_unit_name,from_connect_obj_inst_name,from_width,from_direction,to_instance_unit_name,to_connect_obj_inst_name,to_width,to_direction,actual_name
interface,uart_ifc,f_core,uart0,,,uart_mod0,modem,,,
interface,uart_ifc,f_core,uart1,,,uart_mod1,modem,,,
interface,uart_ifc,f_core,uart2,,,uart_mod2,modem,,,
interface,uart_ifc,f_core,uart3,,,uart_mod3,modem,,,
interface,usb_phy_ifc,f_core,usb,,,usb_phy_,usb,,,
interface,ram_bus,RAM_,ram_bus0,,,uart_mgr_,ram_bus1,,,ram_ufm
interface,ram_bus,RAM_,ram_bus1,,,usb_protocol_mgr_,ram_bus1,,,ram_upm
interface,ram_bus,RAM_,ram_bus2,,,usb_transaction_mgr_,ram_bus1,,,ram_utm
interface,fabric_ad,fab_uart_mgr,fabric,,,uart_mgr_,fabric,,,umf_ufm
interface,fabric_ad,uart_fab_0,fabric,,,uart_mod0,fabric,,,uf0_ut0
interface,fabric_ad,uart_fab_1,fabric,,,uart_mod1,fabric,,,uf1_ut1
interface,fabric_ad,uart_fab_2,fabric,,,uart_mod2,fabric,,,uf2_ut2
interface,fabric_ad,uart_fab_3,fabric,,,uart_mod3,fabric,,,uf3_ut3
interface,fabric_ad,fab_i2c,fabric,,,i2c_,fabric,,,fic_i2c
interface,fabric_ad,proto_fab,fabric,,,usb_protocol_mgr_,fabric,,,prf_upm
interface,fabric_ad,trans_fab,fabric,,,usb_transaction_mgr_,fabric,,,trf_utm
interface,fabric_ad,avalon_fab,fabric,,,avalon_bridge_,fabric,,,avf_avb
interface,fabric_bus,trans_fab,fabric_out,,,proto_fab,fabric_in,,,trf_prf
interface,fabric_bus,proto_fab,fabric_out,,,fab_filter_,fabric_in,,,prf_ffl
interface,fabric_bus,fab_filter_,fabric_out,,,fab_uart_mgr,fabric_in,,,ffl_umf
interface,fabric_bus,fab_uart_mgr,fabric_out,,,fab_i2c,fabric_in,,,umf_fic
interface,fabric_bus,fab_i2c,fabric_out,,,uart_fab_0,fabric_in,,,fic_uf0
interface,fabric_bus,uart_fab_0,fabric_out,,,uart_fab_1,fabric_in,,,uf0_uf1
interface,fabric_bus,uart_fab_1,fabric_out,,,uart_fab_2,fabric_in,,,uf1_uf2
interface,fabric_bus,uart_fab_2,fabric_out,,,uart_fab_3,fabric_in,,,uf2_uf3
interface,fabric_bus,uart_fab_3,fabric_out,,,avalon_fab,fabric_in,,,uf3_avf
interface,fabric_bus,avalon_fab,fabric_out,,,trans_fab,fabric_in,,,avf_trf
interface,fifo_reg_bus,uart_mgr_,fifo_reg_bus0,,,fifo_regs_,fifo_reg,,,ufm_ffr
interface,fifo_reg_bus,fifo_regs_,fifo_reg_bus0,,,usb_protocol_mgr_,fifo_reg,,,ffr_upm
interface,tp_bus,usb_protocol_mgr_,tp_bus,,,usb_tm_dispatcher_,tp_bus,,,
interface,ix_bus,usb_phy_,phy_rx,,,usb_tm_packetizer_,phy_rx,,,
interface,ix_bus,usb_tm_dispatcher_,phy_tx,,,usb_phy_,phy_tx,,,
